Spec, Architecture, CNF, #Layers, Epochs, Batch Size, Learning Rate, K, No. of Inputs, No. of Outputs, No. of Counter Example Loops, Result, BNSynth Time, Manthan Time, Final Loss, Loss Drop, Accuracy, No. of Clauses pre simplification (BNSynth), No. of Clauses post simplification (BNSynth), No. of Chars pre simplification (BNSynth), No. of Chars post simplification (BNSynth), No. Input vars in SKF (BNSynth), No. of Literals pre simplification (BNSynth), No. of Literals post simplification (BNSynth), No. of Clauses pre simplification (Manthan), No. of Clauses post simplification (Manthan), No. of Chars pre simplification (Manthan), No. of Chars post simplification (Manthan), No. Input vars in SKF (Manthan), No. of Literals pre simplification (Manthan), No. of Literals post simplification (Manthan)
LUT1.v, 1, 1, 1, 18, 1, 0.01, 5, 2, 2, 5, Valid, 24.03410029411316, 1.7786223888397217, 0.4417089791456572, 0.6228150665195491, 2.0, 6, 2, 95, 12, 1, 9, 2, 2, 2, 6, 6, 1, 2, 2
xor_3_3.v, 1, 1, 1, 58, 1, 0.01, 20, 3, 3, 0, Valid, 6.104327440261841, 1.8499879837036133, 0.1296893987476494, 2.5144916915345186, 3.0, 15, 6, 445, 96, 3, 31, 14, 91, 91, 907, 2294, 3, 309, 309
xor_6_26.v, 1, 1, 1, 222, 1, 0.01, 1000, 6, 26, 0, Valid, 56.94802188873291, 17.30376410484314, 0.16643254853547623, 28.89745670621347, 26.0, 728, 580, 161602, 19765, 6, 3791, 3129, 94267, 94262, 888148, 109943, 6, 754289, 754276
xor_7_1.v, 1, 1, 1, 72, 1, 0.01, 500, 7, 1, 0, Valid, 27.993011713027954, 2.7440948486328125, 0.07424715187750301, 35.703027121845835, 1.0, 64, 64, 4894, 2724, 7, 448, 448, 83, 83, 2774, 1945, 7, 258, 258
xor_6_2.v, 1, 1, 1, 128, 1, 0.01, 50, 6, 2, 0, Valid, 30.05914282798767, 2.7974190711975098, 0.041939058533399375, 16.869825539251092, 2.0, 59, 56, 2333, 1626, 6, 258, 247, 180, 179, 3815, 3815, 6, 605, 603
multiplexer_3_3.v, 1, 1, 1, 32, 1, 0.01, 5, 3, 3, 0, Valid, 3.3314626216888428, 1.7998509407043457, 0.6939099027786566, 1.2030241665170018, 3.0, 10, 9, 147, 129, 3, 19, 16, 6, 6, 58, 52, 3, 7, 7
xor_6_1.v, 1, 1, 1, 316, 1, 0.01, 50, 6, 1, 0, Valid, 81.10237526893616, 2.364967107772827, 0.35842352093138014, 17.088817934814013, 1.0, 32, 32, 1188, 1188, 6, 192, 192, 64, 64, 1366, 1455, 6, 196, 196
mirror_5_5.v, 1, 1, 1, 19, 1, 0.01, 1, 5, 5, 0, Valid, 3.5697989463806152, 1.6701598167419434, 3.1229539701631306, 11.44768157492458, 5.0, 5, 5, 10, 10, 5, 5, 5, 5, 5, 10, 10, 5, 5, 5
xor-implies_7_1.v, 1, 1, 1, 205, 1, 0.01, 50, 7, 1, 0, Valid, 61.42838644981384, 2.439246892929077, 0.006404675533248818, 21.480412275292093, 1.0, 32, 32, 1536, 1284, 7, 224, 224, 83, 83, 2774, 1945, 7, 258, 258
xor_1_4.v, 1, 1, 1, 8, 1, 0.01, 5, 1, 4, 2, Valid, 11.286964654922485, 1.6843023300170898, 0.4644674956122219, 0.12889875993655997, 4.0, 5, 4, 40, 20, 1, 5, 4, 4, 4, 20, 20, 1, 4, 4
adder_4_9.v, 1, 1, 1, 108, 1, 0.01, 20, 4, 9, 1, Valid, 36.47414517402649, 2.1355326175689697, 0.2832404062569976, 3.799015999845268, 9.0, 48, 30, 1844, 463, 4, 118, 70, 1177, 1176, 69750, 16928, 0, 5096, 5093
xor_4_3.v, 1, 1, 1, 45, 1, 0.01, 20, 4, 3, 0, Valid, 6.553704500198364, 2.231706142425537, 0.9272332700690051, 2.9924884403098266, 3.0, 27, 19, 912, 373, 4, 74, 53, 119, 119, 2043, 3575, 4, 523, 523
multiplexer_2_2.v, 1, 1, 1, 35, 1, 0.01, 1, 2, 2, 0, Valid, 3.43739914894104, 1.708296537399292, 0.3187735190042485, 0.6820053898618299, 2.0, 3, 3, 21, 21, 2, 3, 3, 2, 2, 9, 9, 1, 2, 2
xor-implies_1_1.v, 1, 1, 1, 1, 1, 0.01, 1, 1, 1, 0, Valid, 0.4497230052947998, 1.6702685356140137, 0.009610855953798498, 0.0, 1.0, 1, 1, 4, 4, 0, 1, 1, 1, 1, 4, 4, 0, 1, 1
xor_1_5.v, 1, 1, 1, 131, 1, 0.01, 1, 1, 5, 0, Valid, 14.662916898727417, 1.664292573928833, 0.2418466227741249, 0.6676949765770486, 5.0, 5, 5, 23, 23, 1, 5, 5, 5, 5, 19, 19, 1, 5, 5
LUT1.v, 1, 1, 1, 15, 1, 0.01, 100, 2, 2, 0, Valid, 1.3788163661956787, 1.7956609725952148, 0.7241433097368724, 1.2758563591658945, 2.0, 10, 3, 360, 37, 2, 16, 4, 2, 2, 6, 6, 1, 2, 2
LUT1.v, 1, 1, 1, 10, 1, 0.01, 10, 2, 2, 0, Valid, 1.0897443294525146, 1.7859807014465332, 0.958654178495054, 0.9703496201397936, 2.0, 6, 3, 113, 37, 2, 9, 4, 2, 2, 6, 6, 1, 2, 2
LUT1.v, 1, 1, 1, 12, 1, 0.01, 20, 2, 2, 0, Valid, 1.218679428100586, 1.8205721378326416, 0.23003494609427755, 1.5966681133073055, 2.0, 6, 2, 198, 12, 1, 8, 2, 2, 2, 6, 6, 1, 2, 2
xnor-implies_6_2.v, 1, 1, 1, 102, 1, 0.01, 50, 6, 2, 0, Valid, 20.890239238739014, 2.671093702316284, 0.7144418881221675, 16.79701291708814, 2.0, 55, 54, 2143, 1627, 6, 257, 252, 237, 236, 4574, 4315, 6, 749, 747
xnor-implies_8_2.v, 1, 1, 1, 57, 1, 0.01, 1000, 8, 2, 11, Valid, 543.485452413559, 3.732999324798584, 0.00661746996221083, 49.007896755857004, 2.0, 186, 183, 14222, 7934, 8, 1328, 1305, 108, 107, 5583, 2447, 8, 334, 332
xor_8_8.v, 1, 1, 1, 144, 1, 0.01, 500, 8, 8, 0, Valid, 89.34162068367004, 6.777444124221802, 0.048444366964892724, 56.03376244985032, 8.0, 664, 651, 55245, 28056, 8, 4633, 4530, 1475, 1475, 54436, 16283, 8, 6697, 6697
xor-implies_6_2.v, 1, 1, 1, 32, 1, 0.01, 500, 7, 1, 0, Valid, 8.922284841537476, 2.783463478088379, 0.023579540996615193, 22.33781978795094, 1.0, 32, 32, 6470, 1284, 7, 224, 224, 83, 83, 2774, 1945, 7, 258, 258
xor-implies_8_8.v, 1, 1, 1, 137, 1, 0.01, 500, 8, 8, 0, Valid, 88.47594666481018, 7.090646266937256, 0.00234970237292773, 17.886515361573096, 8.0, 659, 533, 52616, 21834, 8, 4143, 3557, 114, 114, 5607, 2595, 8, 340, 340
xnor-implies_8_2.v, 1, 1, 1, 68, 1, 0.01, 900, 8, 2, 11, Valid, 779.8667097091675, 3.5273685455322266, 0.0072994694988031475, 48.41257347827983, 2.0, 176, 174, 13496, 7541, 8, 1245, 1229, 108, 107, 5583, 2447, 8, 334, 332
