Verilog File Name, Num of Vars, Epochs, Samples Enumerated, Validity of NN Output, Synthesis Time
sample5_preprocessed.v,5,60,100000,Not Valid,74
sample5_preprocessed.v,5,100,100000,Not Valid,123
sample5_preprocessed.v,5,100,200000,Valid,256
sample6_preprocessed.v,5,50,100000,Not Valid,62
sample6_preprocessed.v,5,100,100000,Not Valid,124
sample6_preprocessed.v,5,100,200000,Valid,257
sample6_preprocessed.v,5,100,200000,Valid,255
sample1_preprocessed.v,3,50,100000,Not Valid,70
sample2_preprocessed.v,3,50,100000,Valid,62
sample2_preprocessed.v,3,50,100000,Valid,62
sample1_preprocessed.v,3,100,200000,Not Valid,317
sample2_preprocessed.v,3,50,100000,Valid,62
sample3_preprocessed.v,4,50,100000,Valid,78
sample4_preprocessed.v,4,50,100000,Not Valid,80
sample4_preprocessed.v,4,50,100000,Not Valid,62
sample4_preprocessed.v,4,60,100000,Not Valid,69
sample4_preprocessed.v,4,70,100000,Valid,82
sample1_preprocessed.v,3,50,10000,Not Valid,30
sample1_preprocessed.v,3,50,10000,,23
sample1_preprocessed.v,3,50,10000,,8
sample1_preprocessed.v,3,5,10000,,1
sample1_preprocessed.v,3,5,10000,,2
sample1_preprocessed.v,3,5,10000,,1
sample1_preprocessed.v,3,5,10000,Not Valid,1
sample1_preprocessed.v,3,5,10000,Not Valid,2
sample1_preprocessed.v,3,5,10000,Not Valid,1
sample1_preprocessed.v,3,5,10000,Not Valid,1
sample2_preprocessed.v,3,5,10000,Not Valid,1
sample2_preprocessed.v,3,50,10000,Valid,6
sample2_preprocessed.v,3,5,10000,Not Valid,1
sample7_preprocessed.v,13,5,10000,Not Valid,0
sample7_preprocessed.v,13,5,10000,Not Valid,0
sample7_preprocessed.v,13,5,10000,Not Valid,0
sample1_preprocessed.v,3,5,10000,Not Valid,1
sample1_preprocessed.v,3,200,10000,Not Valid,28
sample1_preprocessed.v,3,5,10000,Not Valid,1
sample1_preprocessed.v,3,50,10000,Not Valid,7
sample1_preprocessed.v,3,50,10000,Not Valid,8
sample1_preprocessed.v,3,5,10000,Not Valid,1
sample1_preprocessed.v,3,5,10000,Not Valid,4
sample1_preprocessed.v,3,5,10000,Not Valid,2
sample1_preprocessed.v,3,5,10000,Not Valid,1
sample1_preprocessed.v,3,50,100000,Not Valid,97
sample1_preprocessed.v,3,5,10000,Not Valid,1
sample6_preprocessed.v,5,5,10000,Not Valid,1
sample1_preprocessed.v,3,5,10000,Not Valid,1
sample7_preprocessed.v,13,5,10000,Not Valid,0
sample7_preprocessed.v,13,5,10000,Not Valid,0
sample6.v,5,5,10000,Not Valid,1
sample6.v,5,50,10000,Not Valid,7
sample6.v,5,50,100000,Not Valid,69
sample6.v,5,50,100000,Valid,64
sample1.v,3,50,100000,Not Valid,80
sample1.v,3,5,100000,Not Valid,7
sample1.v,3,50,100000,Not Valid,68
sample2.v,3,50,100000,Not Valid,69
sample2.v,3,50,100000,Valid,68
sample1.v,3,50,100000,Not Valid,80
sample1.v,3,100,200000,Not Valid,317
sample1.v,3,50,100000,Not Valid,75
sample7.v,13,50,100000,Not Valid,4
sample7.v,13,50,100000,Not Valid,3
sample7.v,13,50,1000000,Not Valid,26
sample7.v,13,50,5000000,Not Valid,137
sample7.v,13,50,5000000,Not Valid,137
sample1.v,3,50,100000,Not Valid,81
sample1.v,3,50,100000,Not Valid,103
