Spec, Architecture, CNF, #Layers, Epochs, Batch Size, Learning Rate, K, No. of Inputs, No. of Outputs, No. of Counter Example Loops, Result, BNSynth Time, Manthan Time, Final Loss, Loss Drop, Accuracy, No. of Clauses pre simplification (BNSynth), No. of Clauses post simplification (BNSynth), No. of Chars pre simplification (BNSynth), No. of Chars post simplification (BNSynth), No. Input vars in SKF (BNSynth), No. of Literals pre simplification (BNSynth), No. of Literals post simplification (BNSynth), No. of Clauses pre simplification (Manthan), No. of Clauses post simplification (Manthan), No. of Chars pre simplification (Manthan), No. of Chars post simplification (Manthan), No. Input vars in SKF (Manthan), No. of Literals pre simplification (Manthan), No. of Literals post simplification (Manthan)
xor_2_4.v, 1, 0, 1, 33, 1, 0.01, 5, 2, 4, 1, Valid, 7.907554388046265, 1.7818968296051025, 0.2529769014183074, 1.3310408219801515, 4.0, 9, 5, 197, 50, 2, 25, 7, 7, 7, 143, 138, 2, 10, 11
misc4_2_3.v, 1, 0, 1, 58, 1, 0.01, 1, 2, 3, 0, Valid, 4.846186637878418, 1.6977248191833496, 0.2516177558796492, 0.617999066248167, 3.0, 7, 4, 53, 30, 2, 7, 4, 5, 5, 113, 108, 2, 7, 8
xnor-implies_6_2.v, 1, 0, 1, 23, 1, 0.01, 500, 6, 2, 0, Valid, 5.2741124629974365, 5.00060510635376, 0.3157530854975348, 19.363787497307005, 2.0, 216, 37, 10999, 1389, 6, 1766, 211, 4, 4, 4574, 3385, 6, 7, 11
xor_5_3.v, 1, 0, 1, 54, 1, 0.01, 20, 5, 3, 0, Valid, 7.505091190338135, 2.532339572906494, 0.31903942157183063, 11.245287253046566, 3.0, 40, 21, 1342, 566, 5, 206, 81, 6, 6, 21519, 12807, 5, 8, 11
xor_6_10.v, 1, 0, 1, 157, 1, 0.01, 50, 6, 10, 0, Valid, 34.05494165420532, 5.5815956592559814, 0.46053455246811725, 16.543721810803877, 10.0, 327, 197, 11441, 5609, 6, 1722, 816, 18, 18, 242777, 221242, 6, 24, 36
multiplexer_1_1.v, 1, 0, 1, 33, 1, 0.01, 1, 1, 1, 0, Valid, 2.4770398139953613, 1.6044278144836426, 0.28171995579743464, 0.513146815825481, 1.0, 1, 1, 4, 4, 0, 1, 1, 1, 1, 4, 4, 0, 1, 1
LUT2_5_2.v, 1, 0, 1, 11, 1, 0.01, 5, 5, 2, 0, Valid, 1.7058067321777344, 1.7297732830047607, 0.5440466321354652, 27.564993123425054, 2.0, 7, 7, 90, 90, 5, 11, 11, 3, 3, 84, 64, 5, 4, 5
xor_4_2.v, 1, 0, 1, 54, 1, 0.01, 20, 4, 2, 0, Valid, 7.445471286773682, 2.1552090644836426, 0.3219478889387697, 4.032791704463891, 2.0, 17, 9, 529, 224, 4, 81, 33, 4, 7, 1170, 798, 4, 6, 9
xnor_7_1.v, 1, 0, 1, 68, 1, 0.01, 500, 7, 1, 0, Valid, 26.127121925354004, 3.558412551879883, 0.34297767158413206, 35.615330675216335, 1.0, 98, 64, 4812, 2787, 7, 783, 448, 2, 2, 2763, 2608, 7, 4, 5
misc2_3_1.v, 1, 0, 1, 13, 1, 0.01, 1, 3, 1, 0, Valid, 1.6504061222076416, 1.6939640045166016, 1.4472799238243792, 1.5442623527933845, 1.0, 1, 1, 7, 7, 1, 1, 1, 2, 2, 30, 25, 3, 3, 4
misc1_2_1.v, 1, 0, 1, 22, 1, 0.01, 1, 2, 1, 0, Valid, 2.4646520614624023, 1.6847302913665771, 0.24503482960329231, 0.4217510151382224, 1.0, 1, 1, 2, 2, 1, 1, 1, 2, 2, 10, 10, 2, 2, 2
xor_2_2.v, 1, 0, 1, 23, 1, 0.01, 5, 2, 2, 0, Valid, 2.3712399005889893, 1.7753772735595703, 0.1625143681350854, 0.9583968220289154, 2.0, 4, 3, 86, 40, 2, 10, 5, 4, 4, 49, 49, 2, 6, 6
xor_2_3.v, 1, 0, 1, 38, 1, 0.01, 5, 2, 3, 0, Valid, 4.000394582748413, 1.8025434017181396, 0.5585931662081596, 0.6377753359404861, 3.0, 8, 4, 159, 45, 2, 20, 6, 5, 5, 53, 53, 2, 7, 7
adder_4_9.v, 1, 0, 1, 72, 1, 0.01, 50, 4, 9, 0, Valid, 8.1521737575531, 3.2214672565460205, 0.3445790783271583, 4.528925310066883, 9.0, 189, 40, 4962, 764, 4, 760, 114, 16, 20, 69750, 55825, 4, 24, 36
xor_5_2.v, 1, 0, 1, 94, 1, 0.01, 20, 5, 2, 0, Valid, 13.658782243728638, 2.592808246612549, 0.5286278784970908, 9.535048870996665, 2.0, 20, 17, 687, 528, 5, 107, 81, 4, 4, 2029, 1759, 5, 7, 9
xor_3_3.v, 1, 0, 1, 34, 1, 0.01, 20, 3, 3, 0, Valid, 3.198291540145874, 1.9170567989349365, 0.8730562307346712, 1.8220431454412342, 3.0, 16, 6, 419, 99, 3, 60, 14, 6, 6, 907, 802, 3, 9, 13
xor_6_26.v, 1, 0, 1, 448, 1, 0.01, 50, 6, 26, 0, Valid, 123.59654927253723, 10.741895914077759, 0.5018826554445197, 15.725290777251358, 26.0, 871, 565, 29542, 16412, 6, 4483, 2415, 50, 50, 888148, 827891, 6, 75, 129
xor_6_2.v, 1, 0, 1, 104, 1, 0.01, 50, 6, 2, 0, Valid, 22.238658666610718, 3.020982265472412, 0.39507993526193663, 17.710387971652654, 2.0, 56, 35, 2378, 1319, 6, 369, 201, 4, 4, 3815, 3375, 6, 6, 7
xor_1_4.v, 1, 0, 1, 71, 1, 0.01, 10, 1, 4, 0, Valid, 6.157041072845459, 1.670588493347168, 0.12720381220593985, 0.7955563397198582, 4.0, 7, 4, 52, 22, 1, 7, 4, 4, 4, 20, 20, 1, 4, 4
xor_4_3.v, 1, 0, 1, 51, 1, 0.01, 10, 4, 3, 0, Valid, 5.550411939620972, 2.1562647819519043, 0.2798554176117224, 5.878181667515091, 3.0, 13, 10, 383, 224, 4, 58, 32, 6, 9, 2043, 1405, 4, 8, 10
xor_7_1.v, 1, 0, 1, 74, 1, 0.01, 500, 7, 1, 0, Valid, 27.885398864746094, 3.2979841232299805, 0.6292961501212107, 35.167065029686405, 1.0, 86, 64, 3900, 2787, 7, 644, 448, 2, 2, 2774, 2619, 7, 2, 2
LUT3_5_2.v, 1, 0, 1, 23, 1, 0.01, 10, 5, 2, 0, Valid, 3.2775540351867676, 1.9056391716003418, 0.9575886642259389, 11.329901903503039, 2.0, 18, 12, 448, 265, 5, 59, 33, 4, 4, 1049, 789, 5, 5, 7
LUT4_5_2.v, 1, 0, 1, 20, 1, 0.01, 10, 5, 2, 0, Valid, 3.064927816390991, 1.9398982524871826, 0.40226361359001006, 11.951275889165693, 2.0, 16, 7, 335, 138, 5, 48, 18, 3, 3, 143, 118, 4, 4, 5
