Spec, Architecture, CNF, #Layers, Epochs, Batch Size, Learning Rate, K, No. of Inputs, No. of Outputs, No. of Counter Example Loops, Result, BNSynth Time, Manthan Time, Final Loss, Loss Drop, Accuracy, No. of Clauses pre simplification (BNSynth), No. of Clauses post simplification (BNSynth), No. of Chars pre simplification (BNSynth), No. of Chars post simplification (BNSynth), No. Input vars in SKF (BNSynth), No. of Literals pre simplification (BNSynth), No. of Literals post simplification (BNSynth), No. of Clauses pre simplification (Manthan), No. of Clauses post simplification (Manthan), No. of Chars pre simplification (Manthan), No. of Chars post simplification (Manthan), No. Input vars in SKF (Manthan), No. of Literals pre simplification (Manthan), No. of Literals post simplification (Manthan)
misc1_2_1.v, 2, 1, 1, 11, 1, 0.01, 1, 2, 1, 0, Valid, 1.048419713973999, 1.6665124893188477, 0.5601631444826121, 0.23318431123302719, 1.0, 1, 1, 2, 2, 1, 1, 1, 2, 2, 10, 10, 2, 2, 2
xor_2_2.v, 2, 1, 1, 20, 1, 0.01, 20, 2, 2, 0, Valid, 1.8850207328796387, 1.8338830471038818, 0.1322750043129449, 0.8048203702868103, 1.0, 7, 3, 204, 39, 2, 12, 5, 4, 4, 49, 28, 2, 4, 4
xor_2_3.v, 2, 1, 1, 71, 1, 0.01, 5, 2, 3, 0, Valid, 6.99410080909729, 1.7611262798309326, 0.1655418731049706, 0.9996256448518707, 1.0, 6, 6, 132, 102, 2, 12, 12, 5, 5, 53, 32, 2, 5, 5
xor_5_2.v, 2, 1, 1, 283, 1, 0.01, 20, 5, 2, 1, Valid, 107.59238195419312, 2.4821693897247314, 0.11737034993965832, 7.670539854153693, 1.0, 35, 17, 1058, 513, 5, 166, 81, 142, 141, 2029, 3705, 5, 472, 470
misc3_2_3.v, 2, 1, 1, 15, 1, 0.01, 5, 2, 3, 0, Valid, 1.396970510482788, 1.7809391021728516, 0.13856819568259116, 0.5528988123474613, 1.0, 8, 3, 179, 17, 1, 11, 3, 13, 13, 101, 181, 2, 26, 26
xnor_6_2.v, 2, 1, 1, 201, 1, 0.01, 50, 6, 2, 0, Valid, 43.696194887161255, 2.7069005966186523, 0.15246747093139687, 10.912279099357105, 1.0, 74, 64, 2604, 2189, 6, 404, 347, 161, 160, 3586, 4780, 6, 596, 594
xor_3_3.v, 2, 1, 1, 102, 1, 0.01, 5, 3, 3, 0, Valid, 9.906203031539917, 1.7572815418243408, 0.20900186127151146, 3.4209537561621204, 1.0, 12, 12, 258, 258, 3, 36, 36, 91, 91, 907, 2294, 3, 309, 309
xor_6_26.v, 2, 1, 1, 38, 1, 0.01, 1000, 6, 26, 0, Valid, 10.426814794540405, 32.07990026473999, 0.006767997942851005, 42.88304105898241, 1.0, 563, 492, 160853, 17847, 6, 3335, 2902, 94267, 94262, 888148, 109943, 6, 754289, 754276
xor-implies_6_2.v, 2, 1, 1, 56, 1, 0.01, 500, 7, 1, 0, Valid, 14.841078519821167, 2.6973087787628174, 0.1335084101577966, 28.27725162604757, 1.0, 32, 32, 4291, 1284, 7, 224, 224, 83, 83, 2774, 1945, 7, 258, 258
xor_7_1.v, 2, 1, 1, 206, 1, 0.01, 500, 7, 1, 0, Valid, 69.15108156204224, 2.610598087310791, 0.04022896208196679, 37.78692766716257, 1.0, 64, 64, 3249, 2724, 7, 448, 448, 83, 83, 2774, 1945, 7, 258, 258
xor_6_2.v, 2, 1, 1, 151, 1, 0.01, 50, 6, 2, 0, Valid, 31.263374090194702, 2.707310438156128, 0.2729227762268379, 11.596666065578004, 1.0, 70, 53, 2775, 1858, 6, 387, 290, 180, 179, 3815, 3815, 6, 605, 603
multiplexer_3_3.v, 2, 1, 1, 39, 1, 0.01, 5, 3, 3, 0, Valid, 3.381701946258545, 1.7069120407104492, 0.09257904294535717, 2.907374669742383, 1.0, 5, 5, 52, 52, 3, 7, 7, 6, 6, 58, 52, 3, 7, 7
mirror_5_5.v, 2, 1, 1, 201, 1, 0.01, 5, 5, 5, 0, Valid, 31.48776888847351, 1.6412041187286377, 0.1946677179960073, 11.908045744660924, 1.0, 5, 5, 10, 10, 5, 5, 5, 5, 5, 10, 10, 5, 5, 5
xor_1_4.v, 2, 1, 1, 27, 1, 0.01, 5, 1, 4, 1, Valid, 5.379424095153809, 1.6560351848602295, 0.04700180233417964, 0.33539630817641397, 1.0, 7, 4, 52, 22, 1, 7, 4, 4, 4, 20, 20, 1, 4, 4
adder_4_9.v, 2, 1, 1, 60, 1, 0.01, 20, 4, 9, 0, Valid, 6.435880184173584, 2.020643949508667, 0.024438696509015822, 3.6273313088911974, 1.0, 48, 30, 1305, 501, 4, 144, 78, 1177, 1176, 69750, 16928, 4, 5096, 5093
xor_4_3.v, 2, 1, 1, 57, 1, 0.01, 20, 4, 3, 6, Valid, 79.63532423973083, 2.097843647003174, 0.07423584891513722, 2.6653820472195813, 1.0, 27, 13, 692, 282, 4, 83, 41, 119, 119, 2043, 3575, 4, 523, 523
LUT1_2_2.v, 2, 1, 1, 14, 1, 0.01, 5, 2, 2, 3, Valid, 13.181763887405396, 1.7468738555908203, 0.33362883458262627, 0.675005484645195, 1.0, 4, 2, 86, 12, 1, 4, 2, 2, 2, 6, 6, 1, 2, 2
mirror_20_20.v, 2, 1, 1, 17, 1, 0.01, 50, 20, 20, 0, Valid, 36.34669613838196, 2.3597412109375, 0.027075946109795215, 150.30405847241266, 1.0, 22, 20, 7434, 50, 20, 24, 20, 20, 20, 50, 50, 20, 20, 20
