Spec, Architecture, CNF, #Layers, Epochs, Batch Size, Learning Rate, K, No. of Inputs, No. of Outputs, No. of Counter Example Loops, Result, BNSynth Time, Manthan Time, Final Loss, Loss Drop, Accuracy, No. of Clauses pre simplification (BNSynth), No. of Clauses post simplification (BNSynth), No. of Chars pre simplification (BNSynth), No. of Chars post simplification (BNSynth), No. Input vars in SKF (BNSynth), No. of Literals pre simplification (BNSynth), No. of Literals post simplification (BNSynth), No. of Clauses pre simplification (Manthan), No. of Clauses post simplification (Manthan), No. of Chars pre simplification (Manthan), No. of Chars post simplification (Manthan), No. Input vars in SKF (Manthan), No. of Literals pre simplification (Manthan), No. of Literals post simplification (Manthan)
xor_2_4.v, 2, 1, 1, 45, 1, 0.01, 5, 2, 4, 0, Valid, 3.867039442062378, 1.8110630512237549, 0.1253253341801904, 0.6693208307388813, 1.0, 12, 5, 139, 49, 2, 18, 7, 15, 15, 143, 200, 2, 28, 28
misc4_2_3.v, 2, 1, 1, 19, 1, 0.01, 5, 2, 3, 1, Valid, 8.699530363082886, 1.7534024715423584, 0.09088372796574054, 0.9960865419410613, 1.0, 8, 4, 80, 30, 2, 10, 4, 13, 13, 113, 169, 2, 24, 23
xnor-implies_6_2.v, 2, 1, 1, 199, 1, 0.01, 50, 6, 2, 0, Valid, 45.71873760223389, 2.6809372901916504, 0.12095159053042061, 12.805895297821358, 1.0, 73, 60, 2615, 2030, 6, 393, 315, 237, 236, 4574, 4315, 6, 749, 747
xor_5_3.v, 2, 1, 1, 35, 1, 0.01, 50, 5, 3, 2, Valid, 28.162201166152954, 2.4199531078338623, 0.17342710264090253, 7.078471158918504, 1.0, 52, 28, 2439, 769, 5, 207, 117, 548, 546, 21519, 9215, 5, 2632, 2628
xor_6_10.v, 2, 1, 1, 31, 1, 0.01, 500, 6, 10, 0, Valid, 7.1513588428497314, 9.769511938095093, 0.005799511572130589, 23.659021498279152, 1.0, 278, 260, 58115, 9106, 6, 1527, 1420, 9826, 9825, 242777, 33641, 6, 62465, 62462
multiplexer_1_1.v, 2, 1, 1, 30, 1, 0.01, 1, 1, 1, 0, Valid, 2.2144343852996826, 1.648937702178955, 0.13081053814571253, 0.43329926901995863, 1.0, 1, 1, 2, 2, 1, 1, 1, 1, 1, 4, 4, 0, 1, 1
LUT2_5_2.v, 2, 1, 1, 9, 1, 0.01, 5, 5, 2, 0, Valid, 1.4508190155029297, 1.7741727828979492, 0.42027896728428166, 8.146452283607184, 1.0, 6, 6, 101, 101, 4, 12, 12, 8, 7, 84, 118, 5, 21, 18
xor_4_2.v, 2, 1, 1, 26, 1, 0.01, 50, 4, 2, 7, Valid, 47.99583721160889, 2.2030282020568848, 0.08724839851959673, 3.1659962820199716, 1.0, 22, 9, 1160, 217, 4, 74, 33, 57, 57, 1170, 1453, 4, 213, 213
xnor_7_1.v, 2, 1, 1, 114, 1, 0.01, 1000, 7, 1, 0, Valid, 38.605051040649414, 2.7348833084106445, 0.08616839685454733, 44.926396556444345, 1.0, 64, 64, 3977, 2724, 7, 448, 448, 88, 88, 2763, 2063, 7, 271, 271
misc2_3_1.v, 2, 1, 1, 12, 1, 0.01, 1, 3, 1, 0, Valid, 1.385589361190796, 1.6841132640838623, 1.3803227274531835, 1.3713772813686012, 1.0, 1, 1, 7, 7, 1, 1, 1, 2, 2, 30, 34, 3, 4, 4
