Spec, Architecture, CNF, #Layers, Epochs, Batch Size, Learning Rate, K, No. of Inputs, No. of Outputs, No. of Counter Example Loops, Result, BNSynth Time, Manthan Time, Final Loss, Loss Drop, Accuracy, No. of Clauses pre simplification (BNSynth), No. of Clauses post simplification (BNSynth), No. of Chars pre simplification (BNSynth), No. of Chars post simplification (BNSynth), No. Input vars in SKF (BNSynth), No. of Literals pre simplification (BNSynth), No. of Literals post simplification (BNSynth), No. of Clauses pre simplification (Manthan), No. of Clauses post simplification (Manthan), No. of Chars pre simplification (Manthan), No. of Chars post simplification (Manthan), No. Input vars in SKF (Manthan), No. of Literals pre simplification (Manthan), No. of Literals post simplification (Manthan)
xor_2_4.v, 2, 0, 1, 50, 1, 0.01, 5, 2, 4, 2, Valid, 14.935950756072998, 1.7932415008544922, 0.025763333903966578, 1.324540078734277, 1.0, 9, 5, 99, 48, 2, 15, 7, 7, 7, 143, 138, 2, 10, 11
misc4_2_3.v, 2, 0, 1, 23, 1, 0.01, 5, 2, 3, 0, Valid, 1.983701467514038, 1.7857916355133057, 0.10593615322780237, 0.6544692115672389, 1.0, 11, 4, 143, 30, 2, 19, 4, 5, 5, 113, 108, 2, 7, 8
xnor-implies_6_2.v, 2, 0, 1, 18, 1, 0.01, 500, 6, 2, 0, Valid, 3.902482032775879, 4.258204936981201, 0.23055438353421537, 16.88941465108266, 1.0, 156, 35, 7509, 1301, 6, 1236, 200, 4, 4, 4574, 3385, 6, 7, 11
xor_5_3.v, 2, 0, 1, 29, 1, 0.01, 50, 5, 3, 0, Valid, 3.8445658683776855, 2.664621591567993, 0.12936833926559993, 6.31251466301519, 1.0, 56, 22, 2061, 598, 5, 309, 85, 6, 6, 21519, 12807, 5, 8, 11
xor_6_10.v, 2, 0, 1, 45, 1, 0.01, 500, 6, 10, 0, Valid, 9.976381063461304, 8.509232759475708, 0.00064800055314305, 15.473965659968565, 1.0, 586, 343, 24271, 11320, 6, 3830, 1728, 18, 18, 242777, 221242, 6, 24, 36
multiplexer_1_1.v, 2, 0, 1, 5, 1, 0.01, 1, 1, 1, 0, Valid, 0.6645379066467285, 1.6065130233764648, 0.3855039747383001, 0.06265917495238249, 1.0, 1, 1, 4, 4, 0, 1, 1, 1, 1, 4, 4, 0, 1, 1
LUT2_5_2.v, 2, 0, 1, 16, 1, 0.01, 5, 5, 2, 0, Valid, 2.254702091217041, 1.7346436977386475, 0.26216717067749223, 15.480221489138318, 1.0, 6, 6, 128, 128, 4, 14, 14, 3, 3, 84, 64, 5, 4, 5
xor_4_2.v, 2, 0, 1, 49, 1, 0.01, 20, 4, 2, 0, Valid, 6.156577825546265, 2.1472327709198, 0.15048448441432444, 3.172909745780439, 1.0, 20, 9, 652, 224, 4, 97, 33, 4, 7, 1170, 798, 4, 6, 9
xnor_7_1.v, 2, 0, 1, 83, 1, 0.01, 500, 7, 1, 0, Valid, 29.973847150802612, 3.185283899307251, 0.1850139765857665, 36.440925740064436, 1.0, 79, 64, 3501, 2787, 7, 576, 448, 2, 2, 2763, 2608, 7, 4, 5
misc2_3_1.v, 2, 0, 1, 10, 1, 0.01, 1, 3, 1, 0, Valid, 0.9787826538085938, 1.7341954708099365, 1.4857497697188635, 1.3268941423765255, 1.0, 1, 1, 7, 7, 1, 1, 1, 2, 2, 30, 25, 3, 3, 4
misc1_2_1.v, 2, 0, 1, 35, 1, 0.01, 1, 2, 1, 0, Valid, 2.985769033432007, 1.7238476276397705, 0.28875748191239614, 0.8054252911996664, 1.0, 2, 2, 10, 10, 2, 2, 2, 2, 2, 10, 10, 2, 2, 2
xor_2_2.v, 2, 0, 1, 40, 1, 0.01, 5, 2, 2, 4, Valid, 29.70679473876953, 1.727301836013794, 0.1041246095523295, 0.8453657183992052, 1.0, 6, 3, 61, 40, 2, 8, 5, 4, 4, 49, 49, 2, 6, 6
xor_2_3.v, 2, 0, 1, 30, 1, 0.01, 5, 2, 3, 2, Valid, 13.250473022460938, 1.7586309909820557, 0.09724071609921917, 0.8302374008331679, 1.0, 5, 4, 62, 43, 2, 9, 6, 5, 5, 53, 53, 2, 7, 7
