Spec., Epochs, Batch Size, Learning Rate, No. of Clauses, No. of Inputs, No. of Outputs, No. of Counter Example Loops, Skolem Function Vector, Result, Time, Final Loss, Loss Drop, Accuracy
ex4.v, 2, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.8090746402740479, 0.1378639819293328, 2.9564755889852163, 1.0
ex4.v, 1, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.6649594306945801, 0.13263995901875192, 0.0, 1.0
ex4.v, 3, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.9728033542633057, 0.2871980715789602, 18.962173721330664, 1.0
ex4.v, 2, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.8121495246887207, 0.1462993538254839, 7.629497746499127, 1.0
ex4.v, 2, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.8140397071838379, 1.3892765890617997, 16.66921471273929, 1.0
ex4.v, 2, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.8069000244140625, 0.13209142410925445, 2.984926285177864, 1.0
ex4.v, 2, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.8480584621429443, 0.3938589129102836, 8.055589495906947, 1.0
ex4.v, 2, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.8450689315795898, 0.14450091960642164, 3.907626016294825, 1.0
ex4.v, 2, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.8132517337799072, 0.11531273692319753, 2.906395764442313, 1.0
ex4.v, 1, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.6707162857055664, 0.12565386586524294, 0.0, 1.0
ex4.v, 3, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 1.0016911029815674, 0.7645566658754989, 19.02202102263854, 1.0
ex4.v, 2, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.8159267902374268, 0.14340276651774597, 7.155029649763869, 1.0
ex4.v, 2, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.8232314586639404, 0.911357346547409, 16.391535780927338, 1.0
ex4.v, 2, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.8188517093658447, 0.1329660381540178, 2.9681867052766218, 1.0
ex4.v, 2, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.8215029239654541, 0.484259731462812, 7.246972905518852, 1.0
ex4.v, 13, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 1.8341293334960938, 0.24041589619243744, 0.7999850938397592, 1.0
ex4.v, 14, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 2.044213056564331, 0.2017723467905887, 0.7962286789328687, 1.0
ex1.v, 1, 1, 0.1, 1, 1, 1, 0, {0: '\n'}, empty string, 0.44955897331237793, 0.1418756672216861, 0.0, 1.0
ex1.v, 1, 1, 0.1, 1, 1, 1, 0, {0: '\n'}, empty string, 0.4382331371307373, 0.011667883488459967, 0.0, 1.0
ex1.v, 5, 1, 0.1, 1, 1, 1, 0, {0: '\n'}, empty string, 0.8028767108917236, 0.10253093737139324, 0.5075230679879983, 1.0
ex1.v, 6, 1, 0.1, 1, 1, 1, 0, {0: '(i_33 | ~i_33)\n'}, Valid, 1.145205020904541, 0.07309716678296983, 0.4317690387838835, 1.0
ex1.v, 2, 1, 0.1, 1, 1, 1, 0, {0: '\n'}, empty string, 0.5303986072540283, 0.13755221150400446, 0.0853466683108125, 1.0
ex1.v, 1, 1, 0.1, 1, 1, 1, 0, {0: '(i_33 | ~i_33)\n'}, Valid, 0.6262083053588867, 0.0036142492611612176, 0.0, 1.0
ex1.v, 4, 1, 0.1, 1, 1, 1, 0, {0: '(i_33 | ~i_33)\n'}, Valid, 0.8783950805664062, 0.3193792122057426, 0.15454768669660346, 1.0
ex1.v, 1, 1, 0.1, 1, 1, 1, 0, {0: '(i_33 | ~i_33)\n'}, Valid, 0.6062817573547363, 0.08739328946793277, 0.0, 1.0
