Spec., Epochs, Batch Size, Learning Rate, No. of Clauses, No. of Inputs, No. of Outputs, No. of Counter Example Loops, Skolem Function Vector, Result, Time, Final Loss, Loss Drop, Accuracy
ex3.v, 1, 1, 0.5, 1, 1, 1, 0, (i0), Valid, 0.4545557498931885, 0.05817165399356159, 0.0, 1.0
ex3.v, 1, 1, 0.5, 1, 1, 1, 0, (i0 | ~i0), Valid, 0.45612311363220215, 0.07762667733327834, 0.0, 1.0
ex3.v, 2, 1, 0.5, 1, 1, 1, 0, (i0), Valid, 0.5409221649169922, 0.13218569501243657, -0.05590806079401761, 1.0
ex3.v, 2, 1, 0.5, 1, 1, 1, 0, (i0 | ~i0), Valid, 0.5140798091888428, 0.13231360548642995, -0.021763126417432735, 1.0
ex4.v, 2, 1, 0.5, 1, 1, 1, 0, (i0 | ~i0), Valid, 0.5385828018188477, 0.17287738302214042, 0.10077086494488965, 1.0
ex4.v, 2, 1, 0.5, 1, 1, 1, 0, (i0 | ~i0), Valid, 0.5276644229888916, 0.10583208828090584, 0.32568585513571613, 1.0
ex4.v, 2, 1, 0.5, 1, 1, 1, 0, (i0 | ~i0), Valid, 0.5464527606964111, 0.10821999891652945, 0.24415835818793719, 1.0
ex4.v, 2, 1, 0.5, 1, 1, 1, 0, (i0 | ~i0), Valid, 0.5202128887176514, 0.14183476758919336, 0.21287082168801805, 1.0
ex4.v, 2, 1, 0.5, 1, 1, 1, 0, (i0 | ~i0), Valid, 0.5281920433044434, 0.14927940279826146, 0.20797926202771694, 1.0
ex4.v, 2, 1, 0.5, 1, 1, 1, 0, (i0 | ~i0), Valid, 0.5209248065948486, 0.16498840439099113, 0.09355934208391867, 1.0
ex4.v, 2, 1, 0.5, 1, 1, 1, 0, (i0 | ~i0), Valid, 0.5236842632293701, 0.09395290413019342, 0.22325048241784617, 1.0
ex4.v, 2, 1, 0.5, 1, 1, 1, 0, (i0 | ~i0), Valid, 0.5360531806945801, 0.1789364877432428, 0.2518786512941228, 1.0
ex4.v, 2, 1, 0.5, 1, 1, 1, 0, (i0 | ~i0), Valid, 0.5185587406158447, 0.06860639351336448, 0.34482237046959396, 1.0
ex4.v, 2, 1, 0.5, 1, 1, 1, 0, (i0 | ~i0), Valid, 0.5256588459014893, 0.10247446975388512, 0.3068345253655729, 1.0
ex5.v, 2, 1, 0.5, 1, 1, 1, 0, (~i0), Valid, 0.4902465343475342, 0.10335086068563382, 0.29405723652509624, 1.0
ex5.v, 2, 1, 0.5, 1, 1, 1, 0, (~i0), Valid, 0.482464075088501, 0.12226595709246457, 0.21808082902923903, 1.0
ex5.v, 1, 1, 0.5, 1, 1, 1, 0, (~i0), Valid, 0.42049431800842285, 0.3034152788552638, 0.0, 1.0
ex5.v, 1, 1, 0.5, 1, 1, 1, 0, (~i0), Valid, 0.43700647354125977, 0.2812888292154432, 0.0, 1.0
ex5.v, 2, 1, 0.5, 1, 1, 1, 0, (~i0), Valid, 0.4819600582122803, 0.1339594546310954, 0.14458284738818447, 1.0
ex5.v, 1, 1, 0.5, 1, 1, 1, 0, (~i0), Valid, 0.43126440048217773, 0.30786724584824554, 0.0, 1.0
ex5.v, 1, 1, 0.5, 1, 1, 1, 0, (~i0), Valid, 0.41534948348999023, 0.3059807083795157, 0.0, 1.0
ex5.v, 2, 1, 0.5, 1, 1, 1, 0, (~i0), Valid, 0.49240565299987793, 0.14409801967185926, 0.19376471841442788, 1.0
ex5.v, 2, 1, 0.5, 1, 1, 1, 0, (~i0), Valid, 0.5085690021514893, 0.15091365035688303, 0.18554268590064904, 1.0
ex5.v, 2, 1, 0.5, 1, 1, 1, 0, (~i0), Valid, 0.5085599422454834, 0.12533302176779385, 0.2024185580109996, 1.0
ex6.v, 1, 1, 0.5, 1, 1, 1, 0, (i0 | ~i0), Valid, 0.4551241397857666, 0.2840380246865615, 0.0, 1.0
ex6.v, 2, 1, 0.5, 1, 1, 1, 0, (i0 | ~i0), Valid, 0.551356315612793, 0.13807334880694505, 0.16007551294882555, 1.0
ex6.v, 2, 1, 0.5, 1, 1, 1, 0, (i0 | ~i0), Valid, 0.52181077003479, 0.13265631218567678, 0.14925808899667306, 1.0
ex6.v, 2, 1, 0.5, 1, 1, 1, 0, (i0 | ~i0), Valid, 0.5368523597717285, 0.08795213253627482, 0.24236147201231223, 1.0
ex6.v, 2, 1, 0.5, 1, 1, 1, 0, (i0 | ~i0), Valid, 0.5272448062896729, 0.1331090891116368, 0.2545207132190346, 1.0
ex6.v, 2, 1, 0.5, 1, 1, 1, 0, (i0 | ~i0), Valid, 0.550152063369751, 0.09970090129887074, 0.30233594054540136, 1.0
ex6.v, 2, 1, 0.5, 1, 1, 1, 0, (i0 | ~i0), Valid, 0.5337705612182617, 0.14817947405938323, 0.09505839285856763, 1.0
ex6.v, 2, 1, 0.5, 1, 1, 1, 0, (i0 | ~i0), Valid, 0.5321354866027832, 0.09095540479022952, 0.29658411774404253, 1.0
ex6.v, 2, 1, 0.5, 1, 1, 1, 0, (i0 | ~i0), Valid, 0.5441973209381104, 0.09304219124573143, 0.31200921953824884, 1.0
ex6.v, 2, 1, 0.5, 1, 1, 1, 0, (i0 | ~i0), Valid, 0.5265882015228271, 0.13633380299663198, 0.3133804938318544, 1.0
ex7.v, 1, 1, 0.5, 2, 1, 1, 0, (i0), Valid, 0.4635498523712158, 0.35283519564097765, 0.0, 1.0
ex7.v, 1, 1, 0.5, 5, 1, 1, 0, (i0 | ~i0) & (i0), Valid, 0.5801677703857422, 0.08493867896658494, 0.0, 1.0
ex7.v, 1, 1, 0.5, 5, 1, 1, 0, (i0 | ~i0) & (i0) & (~i0), Valid, 0.5749330520629883, 0.07271139031578071, 0.0, 1.0
ex7.v, 1, 1, 0.5, 5, 1, 1, 0, (i0 | ~i0) & (i0) & (~i0), Valid, 0.5067224502563477, 0.09057001042524498, 0.0, 1.0
ex7.v, 1, 1, 0.5, 5, 1, 1, 0, (i0) & (~i0), Valid, 0.5579137802124023, 0.06982680846691623, 0.0, 1.0
ex7.v, 1, 1, 0.5, 5, 1, 1, 0, (i0) & (~i0), Valid, 0.572779655456543, 0.07563393499877762, 0.0, 1.0
ex7.v, 1, 1, 0.5, 5, 1, 1, 0, (i0 | ~i0) & (i0), Valid, 0.597320556640625, 0.07403183354912105, 0.0, 1.0
ex7.v, 1, 1, 0.5, 5, 1, 1, 0, (i0 | ~i0) & (i0) & (~i0), Valid, 0.4935874938964844, 0.07985774568509398, 0.0, 1.0
ex7.v, 1, 1, 0.5, 5, 1, 1, 0, (i0) & (~i0), Valid, 0.568354606628418, 0.05066637363979571, 0.0, 1.0
ex7.v, 1, 1, 0.5, 5, 1, 1, 0, (i0 | ~i0) & (i0), Valid, 0.48737192153930664, 0.07820181170953966, 0.0, 1.0
ex8.v, 2, 1, 0.5, 1, 1, 1, 0, (i0), Valid, 0.5947520732879639, 0.21920896767744036, 0.5679440723575722, 1.0
ex8.v, 2, 1, 0.5, 1, 1, 1, 0, (i0), Valid, 0.583115816116333, 0.1162582511833963, 0.5850840622546523, 1.0
ex8.v, 2, 1, 0.5, 1, 1, 1, 0, (i0), Valid, 0.7133831977844238, 0.132535021752198, 0.5633377011380789, 1.0
ex8.v, 2, 1, 0.5, 1, 1, 1, 0, (i0), Valid, 0.6359653472900391, 0.24706393935372065, 0.5376789907979809, 1.0
ex8.v, 2, 1, 0.5, 1, 1, 1, 0, (i0), Valid, 0.5001144409179688, 0.14172322110725985, 0.5850900201139282, 1.0
ex8.v, 2, 1, 0.5, 1, 1, 1, 0, (i0), Valid, 0.6607234477996826, 0.19835941882159336, 0.5568176063479466, 1.0
