Spec, No. of Inputs, No. of Outputs, IsAllUnate, Preprocess Time
bobsynth13neg_all_bit_differing_from_cycle.qdimacs, 6121, 4813, Not All Unates, 130.8043646812439
small-pipeline-fixpoint-5.qdimacs, 1445, 7506, Not All Unates, 234.04707860946655
itc-b13-fixpoint-6.qdimacs, 382, 7180, Not All Unates, 153.41853737831116
stmt17_70_90.qdimacs, 479, 9350, Not All Unates, 372.78574085235596
amba2f9n.sat.qdimacs, 39, 1528, Not All Unates, 7.097260236740112
falsequ_query42_1344n.qdimacs, 62, 257, Not All Unates, 0.13585400581359863
bobsm9234_all_bit_differing_from_cycle.qdimacs, 686, 1020, Not All Unates, 2.847476005554199
ex4.qdimacs, 1, 1, Not All Unates, 0.03354310989379883
kenflashp01_all_bit_differing_from_cycle.qdimacs, 114, 254, Not All Unates, 0.15165257453918457
factorization14.qdimacs, 14, 281, Not All Unates, 0.1690666675567627
bobsynth00neg_all_bit_differing_from_cycle.qdimacs, 6156, 4748, Not All Unates, 132.5156888961792
stay24n.sat.qdimacs, 51, 8322, Not All Unates, 235.67531061172485
bobsynthetic_all_bit_differing_from_cycle.qdimacs, 120, 2759, Not All Unates, 24.109849452972412
stmt17_74_90.qdimacs, 479, 9785, Not All Unates, 420.466814994812
ex8.qdimacs, 1, 1, Not All Unates, 0.0780177116394043
stmt28_73_85.qdimacs, 450, 9379, Not All Unates, 477.96836376190186
rankfunc48_unsigned_64.qdimacs, 640, 5206, Not All Unates, 131.724036693573
sortnetsort9.AE.stepl.012.qdimacs, 1776, 7879, Not All Unates, 232.99129462242126
small-bug1-fixpoint-5.qdimacs, 17, 69, Not All Unates, 0.09517669677734375
sortnetsort10.AE.stepl.007.qdimacs, 1323, 5838, Not All Unates, 115.57804894447327
factorization12.qdimacs, 12, 207, Not All Unates, 0.10789179801940918
stmt17_70_86.qdimacs, 450, 8944, Not All Unates, 346.7626645565033
ex5.qdimacs, 1, 1, Not All Unates, 0.029378414154052734
rankfunc35_unsigned_64.qdimacs, 512, 4757, Not All Unates, 72.01276278495789
bobtuint08neg_all_bit_differing_from_cycle.qdimacs, 431, 1226, Not All Unates, 3.4022700786590576
stmt17_63_82.qdimacs, 421, 7668, Not All Unates, 238.48728561401367
kenflashp12.qdimacs, 44, 337, Not All Unates, 0.23848748207092285
rankfunc54_signed_64.qdimacs, 512, 4766, Not All Unates, 79.5661551952362
rankfunc52_signed_64.qdimacs, 384, 3535, Not All Unates, 37.624226331710815
bobsmhdlc3_all_bit_differing_from_cycle.qdimacs, 600, 674, Not All Unates, 1.020127534866333
amba5b5n.sat.qdimacs, 61, 3059, Not All Unates, 50.70662546157837
cycle_sched_4_4_2.sat.qdimacs, 144, 6306, Not All Unates, 123.2656991481781
cycle_sched_6_6_2.sat.qdimacs, 273, 6163, Not All Unates, 121.13046479225159
cache-coherence-2-fixpoint-6.qdimacs, 966, 10611, Not All Unates, 418.8734953403473
rankfunc58_signed_64.qdimacs, 512, 3606, Not All Unates, 31.736799716949463
eijkbs4863.qdimacs, 256, 1537, Not All Unates, 6.586499214172363
stmt19_79_83.qdimacs, 421, 9408, Not All Unates, 314.9632451534271
GuidanceService2.qdimacs, 69, 3192, Not All Unates, 23.405231952667236
stmt22_311_370.qdimacs, 260, 5003, Not All Unates, 65.30352807044983
small-swap1-fixpoint-4.qdimacs, 300, 954, Not All Unates, 2.0124571323394775
stmt19_180_352.qdimacs, 260, 3813, Not All Unates, 34.86978507041931
sdlx-fixpoint-2.qdimacs, 189, 2708, Not All Unates, 12.887285470962524
subtraction1024.qdimacs, 2048, 7163, Not All Unates, 140.96897625923157
rankfunc56_unsigned_64.qdimacs, 256, 1550, Not All Unates, 4.220818758010864
stmt31_190_227.qdimacs, 178, 2564, Not All Unates, 12.626972436904907
small-dyn-partition-fixpoint-7.qdimacs, 64, 715, Not All Unates, 0.7502427101135254
bobsynth06neg_all_bit_differing_from_cycle.qdimacs, 6156, 4748, Not All Unates, 110.4117362499237
small-dyn-partition-fixpoint-4.qdimacs, 40, 394, Not All Unates, 0.24490737915039062
stmt39_285_335.qdimacs, 246, 4691, Not All Unates, 55.95131707191467
stmt19_302_352.qdimacs, 260, 4967, Not All Unates, 64.96152210235596
driver_a9n.sat.qdimacs, 423, 6557, Not All Unates, 110.17393350601196
rankfunc58_unsigned_64.qdimacs, 512, 3604, Not All Unates, 32.70627474784851
kenflashp12_all_bit_differing_from_cycle.qdimacs, 88, 338, Not All Unates, 0.20650410652160645
stmt25_52_53.qdimacs, 229, 1779, Not All Unates, 7.342010259628296
driver_a10y.sat.qdimacs, 423, 5077, Not All Unates, 59.6747088432312
query60_query33_1344n.qdimacs, 126, 2929, Not All Unates, 23.953649520874023
small-dyn-partition-fixpoint-11.qdimacs, 16, 71, Not All Unates, 0.034413814544677734
floor128.qdimacs, 256, 879, Not All Unates, 1.1337933540344238
kenoopp1_all_bit_differing_from_cycle.qdimacs, 102, 182, Not All Unates, 0.08816289901733398
factorization8.qdimacs, 8, 87, Not All Unates, 0.04585838317871094
small-swap1-fixpoint-5.qdimacs, 360, 1206, Not All Unates, 3.8722355365753174
stmt31_276_328.qdimacs, 244, 4595, Not All Unates, 65.68540930747986
stmt17_63_78.qdimacs, 392, 7262, Not All Unates, 219.52344965934753
query71_query31_1344n.qdimacs, 108, 2761, Not All Unates, 24.15995764732361
bobtuintorneg_all_bit_differing_from_cycle.qdimacs, 432, 1204, Not All Unates, 3.2315120697021484
decomposition64.qdimacs, 64, 508, Not All Unates, 0.3419933319091797
Q_2-3_v-80-100_r-13.3.qdimacs, 80, 100, Not All Unates, 0.08143997192382812
query60_query45_1344n.qdimacs, 126, 2145, Not All Unates, 14.519818782806396
stmt41_160_235.qdimacs, 180, 2463, Not All Unates, 14.089340448379517
min128.qdimacs, 256, 565, Not All Unates, 0.6198713779449463
stmt27_149_224.qdimacs, 178, 2403, Not All Unates, 13.493105173110962
query42_query45_1344n.qdimacs, 168, 4853, Not All Unates, 198.43732905387878
itc-b13-fixpoint-9.qdimacs, 550, 11065, Not All Unates, 439.79431319236755
query60_query44_1344n.qdimacs, 136, 3399, Not All Unates, 39.50301170349121
