Epochs, No. of Clauses, No. of Counter Example Loops, Skolem Function Vector, Result
5, 1, 0, empty string, Invalid
5, 1, 0, empty string, Invalid
5, 1, 0, {1: '(~i_0)\n'}, Valid
5, 1, 0, empty string, Invalid
-,-,-,-,-
5, 2, 0, empty string, Invalid
5, 2, 0, empty string, Invalid
5, 2, 0, empty string, Invalid
5, 2, 0, empty string, Invalid
5, 2, 0, empty string, Invalid
5, 2, 0, empty string, Invalid
5, 2, 4, {1: '(~i_0)\n'}, Valid
5, 2, 0, empty string, Invalid
5, 2, 0, {1: '(~i_0)\n'}, Valid
5, 2, 4, {1: '(~i_0)\n'}, Valid
-,-,-,-,-
5, 3, 0, {1: '(~i_0)\n'}, Valid
5, 3, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
5, 3, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
5, 3, 3, {1: '(i_0 | ~i_0)\n'}, Valid
5, 3, 0, {1: '(i_0 | ~i_0)\n'}, Valid
5, 3, 0, {1: '(i_0 | ~i_0)\n'}, Valid
5, 3, 0, empty string, Invalid
5, 3, 0, {1: '(i_0 | ~i_0)\n'}, Valid
5, 3, 0, empty string, Invalid
5, 3, 5, {1: '(~i_0)\n'}, Valid
-,-,-,-,-
5, 4, 0, {1: '(~i_0)\n'}, Valid
5, 4, 0, {1: '(i_0 | ~i_0)\n'}, Valid
5, 4, 2, {1: '(i_0 | ~i_0)\n'}, Valid
5, 4, 0, empty string, Invalid
5, 4, 3, {1: '(i_0 | ~i_0)\n'}, Valid
5, 4, 0, {1: '(~i_0)\n'}, Valid
5, 4, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
5, 4, 0, {1: '(i_0 | ~i_0)\n'}, Valid
5, 4, 0, {1: '(i_0 | ~i_0)\n'}, Valid
5, 4, 0, {1: '(~i_0)\n'}, Valid
-,-,-,-,-
5, 5, 1, {1: '(~i_0)\n'}, Valid
5, 5, 0, {1: '(i_0 | ~i_0)\n'}, Valid
5, 5, 5, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
5, 5, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
5, 5, 0, {1: '(i_0 | ~i_0)\n'}, Valid
5, 5, 0, {1: '(i_0 | ~i_0)\n'}, Valid
5, 5, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
5, 5, 0, empty string, Invalid
5, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
5, 5, 8, {1: '(~i_0)\n'}, Valid
-,-,-,-,-
5, 10, 4, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
5, 10, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
5, 10, 1, {1: '(i_0 | ~i_0)\n'}, Valid
5, 10, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
5, 10, 11, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
5, 10, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
