Verilog File Name, Num of Vars, Epochs, Samples Enumerated, Synthesis Time
sample1_preprocessed.v,3,50,100000,0.26173877716064453
sample7_preprocessed.v,13,50,100000,0.4561271667480469
sample1_preprocessed.v,3,50,100000,0.2656254768371582
sample1_preprocessed.v,3,50,100000,0.19167113304138184
sample1_preprocessed.v,3,5,100000,0.18614459037780762
sample1_preprocessed.v,3,5,100000,0.2055041790008545
sample1_preprocessed.v,3,5,100000,0.19485735893249512
sample1_preprocessed.v,3,5,100000,0.20685648918151855
sample1_preprocessed.v,3,5,100000,0.29468679428100586
sample1_preprocessed.v,3,5,100000,0.19486188888549805
sample1_preprocessed.v,3,1,1000,0.20383000373840332
sample1_preprocessed.v,3,1,1000,0.19924402236938477
sample1_preprocessed.v,3,1,1000,0.2230081558227539
sample1_preprocessed.v,3,1,1000,0.2301931381225586
sample1_preprocessed.v,3,1,1000,0.20977330207824707
sample1_preprocessed.v,3,1,1000,0.18580937385559082
sample1_preprocessed.v,3,5,100000,0.2106170654296875
sample2_preprocessed.v,3,5,100000,0.23830008506774902
sample1_preprocessed.v,3,1,1000,0.244767427444458
sample1_preprocessed.v,3,1,1000,0.22238826751708984
sample1_preprocessed.v,3,1,1000,0.23065900802612305
sample1_preprocessed.v,3,1,1000,0.21307110786437988
sample1_preprocessed.v,3,1,1000,0.17559528350830078
sample1_preprocessed.v,3,1,1000,0.2149512767791748
sample1_preprocessed.v,3,1,1000,0.23000645637512207
sample1_preprocessed.v,3,1,1000,0.23058509826660156
sample1_preprocessed.v,3,1,1000,0.219498872756958
sample1_preprocessed.v,3,1,1000,0.20414209365844727
sample1_preprocessed.v,3,1,1000,0.1819896697998047
sample1_preprocessed.v,3,50,100000,0.22495460510253906
sample1_preprocessed.v,3,100,100000,0.21978759765625
sample1_preprocessed.v,3,1,1000,0.21349477767944336
sample2_preprocessed.v,3,5,100000,0.29707932472229004
sample5_preprocessed.v,5,5,100000,0.24026775360107422
sample5_preprocessed.v,5,50,100000,0.22972416877746582
sample5_preprocessed.v,5,50,100000,0.2270960807800293
sample5_preprocessed.v,5,100,100000,0.23732900619506836
sample5_preprocessed.v,5,50,200000,0.25670886039733887
sample2_preprocessed.v,3,5,100000,0.19366049766540527
sample2_preprocessed.v,3,20,100000,0.2211151123046875
sample2_preprocessed.v,3,50,100000,0.20850110054016113
sample3_preprocessed.v,4,50,100000,0.25781965255737305
sample3_preprocessed.v,4,50,100000,0.2305910587310791
sample3_preprocessed.v,4,100,100000,0.20587158203125
sample3_preprocessed.v,4,10,100000,0.23174643516540527
sample3_preprocessed.v,4,20,100000,0.23643946647644043
sample3_preprocessed.v,4,20,100000,0.21107101440429688
sample3_preprocessed.v,4,2,100000,0.19105172157287598
sample3_preprocessed.v,4,2,100000,0.22633981704711914
sample3_preprocessed.v,4,100,150000,0.19297122955322266
sample6_preprocessed.v,5,50,100000,0.2764546871185303
sample6_preprocessed.v,5,50,100000,0.2560875415802002
sample6_preprocessed.v,5,50,100000,0.26241445541381836
sample6_preprocessed.v,5,50,100000,0.24545049667358398
sample6_preprocessed.v,5,50,100000,0.21944832801818848
sample6_preprocessed.v,5,50,100000,0.31441497802734375
sample6_preprocessed.v,5,100,100000,0.2598412036895752
sample6_preprocessed.v,5,50,100000,0.22295737266540527
sample6_preprocessed.v,5,5,100000,0.23951268196105957
sample6_preprocessed.v,5,50,100000,0.2222576141357422
sample6_preprocessed.v,5,50,100000,0.2337496280670166
sample6_preprocessed.v,5,50,100000,0.21908164024353027
sample6_preprocessed.v,5,50,100000,0.2616088390350342
sample6_preprocessed.v,5,50,100000,0.26929688453674316
sample1_preprocessed.v,3,50,100000,0.1995689868927002
sample1_preprocessed.v,3,50,100000,0.1713547706604004
sample2_preprocessed.v,3,50,100000,0.22963953018188477
sample2_preprocessed.v,3,50,100000,0.22987103462219238
sample2_preprocessed.v,3,50,100000,0.21796774864196777
sample3_preprocessed.v,4,50,100000,0.2528035640716553
sample3_preprocessed.v,4,50,100000,0.19845890998840332
sample4_preprocessed.v,4,50,100000,0.3931276798248291
sample4_preprocessed.v,4,50,100000,0.24146175384521484
sample4_preprocessed.v,4,60,100000,0.21060585975646973
sample4_preprocessed.v,4,50,100000,0.21578431129455566
sample4_preprocessed.v,4,60,100000,0.20222163200378418
sample5_preprocessed.v,5,60,100000,0.23348760604858398
sample5_preprocessed.v,5,60,100000,0.23337268829345703
sample5_preprocessed.v,5,60,100000,0.22648978233337402
sample5_preprocessed.v,5,80,100000,0.225785493850708
sample5_preprocessed.v,5,60,100000,0.23604202270507812
sample5_preprocessed.v,5,100,100000,0.22966790199279785
sample5_preprocessed.v,5,100,200000,0.2534341812133789
sample6_preprocessed.v,5,50,100000,0.2396869659423828
sample6_preprocessed.v,5,100,100000,0.22620034217834473
sample6_preprocessed.v,5,100,200000,0.24125242233276367
sample6_preprocessed.v,5,100,200000,0.2465076446533203
