Epochs, No. of Clauses, No. of Counter Example Loops, Skolem Function Vector, Result, Time
5, 2, 0, empty string, Invalid, 0.2982058525085449
5, 2, 1, {1: '(~i_0)\n'}, Valid, 0.0691986083984375
5, 2, 0, empty string, Invalid, 0.3842310905456543
5, 2, 2, {1: '(~i_0)\n'}, Valid, 0.08446574211120605
5, 2, 0, empty string, Invalid, 0.40406203269958496
5, 2, 0, {1: '(~i_0)\n'}, Valid, 0.7680349349975586
5, 2, 3, {1: '(~i_0)\n'}, Valid, 0.1859912872314453
5, 2, 15, {1: '(~i_0)\n'}, Valid, 0.8515169620513916
5, 2, 2, {1: '(~i_0)\n'}, Valid, 0.07593178749084473
-,-,-,-,-
5, 3, 1, {1: '(~i_0)\n'}, Valid, 0.06007671356201172
5, 3, 0, empty string, Invalid, 0.35746049880981445
5, 3, 0, empty string, Invalid, 0.3717799186706543
5, 3, 12, {1: '(~i_0)\n'}, Valid, 1.2984256744384766
5, 3, 0, empty string, Invalid, 0.32259559631347656
5, 3, 4, {1: '(~i_0)\n'}, Valid, 0.41409778594970703
5, 3, 0, empty string, Invalid, 0.366391658782959
5, 3, 5, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.7047684192657471
5, 3, 0, empty string, Invalid, 0.3670954704284668
5, 3, 3, {1: '(~i_0)\n'}, Valid, 0.2675962448120117
-,-,-,-,-
5, 4, 1, {1: '(~i_0)\n'}, Valid, 0.06728720664978027
5, 4, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.4445762634277344
5, 4, 8, {1: '(~i_0)\n'}, Valid, 0.8906261920928955
5, 4, 0, empty string, Invalid, 0.30048108100891113
5, 4, 4, {1: '(~i_0)\n'}, Valid, 0.5522644519805908
5, 4, 0, empty string, Invalid, 0.3683011531829834
5, 4, 0, {1: '(~i_0)\n'}, Valid, 0.660888671875
5, 4, 0, empty string, Invalid, 0.3686349391937256
5, 4, 1, {1: '(~i_0)\n'}, Valid, 0.06951189041137695
5, 4, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.12653803825378418
-,-,-,-,-
5, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.5891563892364502
5, 5, 4, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.5941169261932373
5, 5, 3, {1: '(~i_0)\n'}, Valid, 0.21177387237548828
5, 5, 5, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.5590221881866455
5, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.620441198348999
5, 5, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.4121589660644531
5, 5, 0, empty string, Invalid, 0.3605201244354248
5, 5, 6, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.5881681442260742
5, 5, 2, {1: '(~i_0)\n'}, Valid, 0.2737691402435303
5, 5, 3, {1: '(~i_0)\n'}, Valid, 0.31313419342041016
-,-,-,-,-
5, 10, 5, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.6806037425994873
5, 10, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.41828417778015137
5, 10, 1, {1: '(~i_0)\n'}, Valid, 0.06776618957519531
5, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.6075143814086914
5, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.605445146560669
5, 10, 4, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.6022248268127441
5, 10, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.09749865531921387
5, 10, 4, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.6521718502044678
5, 10, 7, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 1.2037527561187744
5, 10, 15, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 2.694160223007202
