Epochs, No. of Clauses, No. of Counter Example Loops, Skolem Function Vector, Result, Time
5, 1, 0, empty string, Invalid, 0.3188626766204834
5, 1, 0, {1: '(~i_0)\n'}, Valid, 0.6539344787597656
5, 1, 7, {1: '(~i_0)\n'}, Valid, 0.3512589931488037
5, 1, 0, empty string, Invalid, 0.30724668502807617
5, 1, 0, empty string, Invalid, 0.37843799591064453
-,-,-,-,-
5, 2, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.6777293682098389
5, 2, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.6107504367828369
5, 2, 0, empty string, Invalid, 0.3228015899658203
5, 2, 0, {1: '(~i_0)\n'}, Valid, 0.6554183959960938
5, 2, 0, empty string, Invalid, 0.3723790645599365
5, 2, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.6730983257293701
5, 2, 4, {1: '(i_0 | ~i_0)\n'}, Valid, 0.6040260791778564
5, 2, 0, empty string, Invalid, 0.3224046230316162
5, 2, 0, {1: '(~i_0)\n'}, Valid, 0.657362699508667
5, 2, 0, empty string, Invalid, 0.368985652923584
-,-,-,-,-
5, 3, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.712350606918335
5, 3, 2, {1: '(~i_0)\n'}, Valid, 0.22585749626159668
5, 3, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5942287445068359
5, 3, 6, {1: '(i_0 | ~i_0)\n'}, Valid, 0.6916975975036621
5, 3, 0, {1: '(~i_0)\n'}, Valid, 0.5642175674438477
5, 3, 2, {1: '(i_0 | ~i_0)\n'}, Valid, 0.10138964653015137
5, 3, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5923819541931152
5, 3, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.6687390804290771
5, 3, 0, {1: '(~i_0)\n'}, Valid, 0.575493335723877
5, 3, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.8250999450683594
-,-,-,-,-
5, 4, 4, {1: '(i_0 | ~i_0)\n'}, Valid, 0.4664602279663086
5, 4, 1, {1: '(~i_0)\n'}, Valid, 0.06504487991333008
5, 4, 4, {1: '(i_0 | ~i_0)\n'}, Valid, 0.563359260559082
5, 4, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5844814777374268
5, 4, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.6958787441253662
5, 4, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5949993133544922
5, 4, 2, {1: '(i_0 | ~i_0)\n'}, Valid, 0.25373268127441406
5, 4, 0, empty string, Invalid, 0.32657933235168457
5, 4, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.7124168872833252
5, 4, 0, {1: '(~i_0)\n'}, Valid, 0.655301570892334
-,-,-,-,-
5, 5, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.6661050319671631
5, 5, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5750374794006348
5, 5, 0, {1: '(~i_0)\n'}, Valid, 0.5693409442901611
5, 5, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.19945168495178223
5, 5, 0, {1: '(~i_0)\n'}, Valid, 0.5623059272766113
5, 5, 1, {1: '(~i_0)\n'}, Valid, 0.06569647789001465
5, 5, 1, {1: '(~i_0)\n'}, Valid, 0.07740640640258789
5, 5, 0, empty string, Invalid, 0.32064390182495117
5, 5, 0, {1: '(~i_0)\n'}, Valid, 0.6534402370452881
5, 5, 0, {1: '(~i_0)\n'}, Valid, 0.6415722370147705
-,-,-,-,-
5, 10, 0, {1: '(~i_0)\n'}, Valid, 0.5704448223114014
5, 10, 3, {1: '(~i_0)\n'}, Valid, 0.45240163803100586
5, 10, 6, {1: '(i_0 | ~i_0)\n'}, Valid, 0.9300074577331543
5, 10, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.23577475547790527
5, 10, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.08770489692687988
5, 10, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.47493600845336914
5, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.613168478012085
5, 10, 4, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.5398609638214111
5, 10, 3, {1: '(i_0 | ~i_0)\n'}, Valid, 0.4413914680480957
5, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.6099729537963867
-,-,-,-,-
